Operator;Package Name Purchase ;Package customer type;Package launch date;Package active status;Package Price ;Package Type 1 ;Package Type 2;Package Validity;Scheme of package 1;Scheme of package 2;Scheme of package 3;Scheme of package 4;Scheme of package 5;Scheme of package 6;Value-added Service(VAS)- ;Type of VAS ;Category Business;SOP
Telkomsel;UnlimitedMax1;Prepaid;2020-09-02;Yes;75000;No;Yes;30;Yes;;;;;;Yes;Yes;Unlimited;1
Telkomsel;UnlimitedMax2;Prepaid;2020-09-03;Yes;105000;No;Yes;30;Yes;;;;;;Yes;Yes;Unlimited;1
Telkomsel;UnlimitedMax3;Prepaid;2020-09-04;Yes;125000;No;Yes;30;Yes;;;;;;Yes;Yes;Unlimited;1
Telkomsel;InternetMax1;Prepaid;;Yes;12000;No;Yes;30;Yes;;;;;;No;Yes;Validity + quota;1
Telkomsel;InternetMax2;Prepaid;;Yes;25000;No;Yes;30;Yes;;;;;;Yes;Yes;Validity + quota;1
Telkomsel;InternetMax3;Prepaid;;Yes;35000;No;Yes;30;Yes;;;;;;Yes;Yes;Validity + quota;1
Telkomsel;InternetMax4;Prepaid;;Yes;55000;No;Yes;30;Yes;;;;;;Yes;Yes;Validity + quota;1
Telkomsel;HaloUnlimited 80k;Postpaid;2020-10-28;Yes;80000;No;Yes;180;;;;;;Yes;Yes;Yes;Validity + quota;6
Telkomsel;HaloUnlimited 100k;Postpaid;2020-10-28;Yes;100000;No;Yes;180;;;;;;Yes;Yes;Yes;Validity + quota;6
Telkomsel;HaloUnlimited 150k;Postpaid;2020-10-28;Yes;150000;No;Yes;180;;;;;;Yes;Yes;Yes;Validity + quota;6
Telkomsel;HaloUnlimited 225k;Postpaid;2020-10-28;Yes;225000;No;Yes;180;;;;;;Yes;Yes;Yes;Validity + quota;6
Telkomsel;HaloUnlimited 300k;Postpaid;2020-10-28;Yes;300000;No;Yes;180;;;;;;Yes;Yes;Yes;Validity + quota;6
Telkomsel;HaloUnlimited 550k;Postpaid;2020-10-28;Yes;550000;No;Yes;180;;;;;;Yes;Yes;Yes;Validity + quota;6
Telkomsel;Internet RoaMAX Filipina;Prepaid;;Yes;150000;No;Yes;7;Yes;;;;;;No;;Roaming;1
Telkomsel;Internet RoaMAX Malaysia;Prepaid;;Yes;150000;No;Yes;7;Yes;;;;;;No;;Roaming;1
Telkomsel;Internet RoaMAX Vietnam;Prepaid;;Yes;150000;No;Yes;7;Yes;;;;;;No;;Roaming;1
Telkomsel;Internet RoaMAX Bangaladesh;Prepaid;;Yes;150000;No;Yes;7;Yes;;;;;;No;;Roaming;1
Telkomsel;Internet RoaMAX Myanmar;Prepaid;;Yes;150000;No;Yes;7;Yes;;;;;;No;;Roaming;1
Telkomsel;Internet RoaMAX SriLanka;Prepaid;;Yes;150000;No;Yes;7;Yes;;;;;;No;;Roaming;1
